Sample	bam_file	total_reads	mapped_reads	mapped_bases	sequenced_bases	mean_insert_size	median_insert_size	mean_mapping_quality	general_error_rate	mean_coverage	percentage_aligned
Quartet_DNA_ILM_XTen_NVG_LCL7_1_20170531	/cromwell_inputs/choppy-cromwell-result/test-choppy/Quartet_wgs_test_renluyao_20210421/52d73f1f-afd5-4c19-b384-0e9bf4b4c2f4/call-Dedup/shard-2/Quartet_DNA_ILM_XTen_NVG_LCL7_1_20170531.sorted.deduped.bam	6925703.0	6907656.0	1023927897.0	1023615205.0	25041.5374	235.0	21.4194	0.0036	0.3295	99.73941995491288
Quartet_DNA_ILM_XTen_NVG_LCL7_2_20170531	/cromwell_inputs/choppy-cromwell-result/test-choppy/Quartet_wgs_test_renluyao_20210421/52d73f1f-afd5-4c19-b384-0e9bf4b4c2f4/call-Dedup/shard-6/Quartet_DNA_ILM_XTen_NVG_LCL7_2_20170531.sorted.deduped.bam	6925703.0	6907656.0	1023927897.0	1023615205.0	25041.5374	235.0	21.4194	0.0036	0.3295	99.73941995491288
Quartet_DNA_ILM_XTen_NVG_LCL7_3_20170531	/cromwell_inputs/choppy-cromwell-result/test-choppy/Quartet_wgs_test_renluyao_20210421/52d73f1f-afd5-4c19-b384-0e9bf4b4c2f4/call-Dedup/shard-10/Quartet_DNA_ILM_XTen_NVG_LCL7_3_20170531.sorted.deduped.bam	6925703.0	6907656.0	1023927897.0	1023615205.0	25041.5374	235.0	21.4194	0.0036	0.3295	99.73941995491288
Quartet_DNA_ILM_XTen_NVG_LCL8_1_20170531	/cromwell_inputs/choppy-cromwell-result/test-choppy/Quartet_wgs_test_renluyao_20210421/52d73f1f-afd5-4c19-b384-0e9bf4b4c2f4/call-Dedup/shard-3/Quartet_DNA_ILM_XTen_NVG_LCL8_1_20170531.sorted.deduped.bam	6925703.0	6907656.0	1023927897.0	1023615205.0	25041.5374	235.0	21.4194	0.0036	0.3295	99.73941995491288
Quartet_DNA_ILM_XTen_NVG_LCL8_2_20170531	/cromwell_inputs/choppy-cromwell-result/test-choppy/Quartet_wgs_test_renluyao_20210421/52d73f1f-afd5-4c19-b384-0e9bf4b4c2f4/call-Dedup/shard-7/Quartet_DNA_ILM_XTen_NVG_LCL8_2_20170531.sorted.deduped.bam	6925703.0	6907656.0	1023927897.0	1023615205.0	25041.5374	235.0	21.4194	0.0036	0.3295	99.73941995491288
Quartet_DNA_ILM_XTen_NVG_LCL8_3_20170531	/cromwell_inputs/choppy-cromwell-result/test-choppy/Quartet_wgs_test_renluyao_20210421/52d73f1f-afd5-4c19-b384-0e9bf4b4c2f4/call-Dedup/shard-11/Quartet_DNA_ILM_XTen_NVG_LCL8_3_20170531.sorted.deduped.bam	6925703.0	6907656.0	1023927897.0	1023615205.0	25041.5374	235.0	21.4194	0.0036	0.3295	99.73941995491288
R20022112-Nova123-B130121_combined	/cromwell_inputs/f0f8f991/R20022112-Nova123-B130121_combined.sorted.bam	149984040.0	149507173.0	17335902567.0	17334648413.0	5785.0237	232.0	57.8273	0.0034	286.7478	99.68205483730137
R20022112-Nova123-B130128_combined	/cromwell_inputs/e32cfc1d/R20022112-Nova123-B130128_combined.sorted.bam	181668730.0	181097275.0	21361132068.0	21359670134.0	10986.2834	200.0	57.7825	0.0032	353.3279	99.68544118737441
R20022112-Nova123-B130331_combined	/cromwell_inputs/5c37aa43/R20022112-Nova123-B130331_combined.sorted.bam	34140193.0	34024740.0	4054534166.0	4054258538.0	8471.4554	207.0	57.8962	0.003	67.0648	99.66182675065721
R20022112-Nova123-B130362_combined	/cromwell_inputs/31f59cc0/R20022112-Nova123-B130362_combined.sorted.bam	15766828.0	15719705.0	1885801543.0	1885678219.0	6405.3831	165.0	57.8583	0.0029	31.1925	99.70112567981334
R20022112-Nova123-B130774_combined	/cromwell_inputs/f0a2a9e9/R20022112-Nova123-B130774_combined.sorted.bam	161851646.0	161330619.0	18487191207.0	18485865689.0	7847.2643	225.0	57.8237	0.0032	305.7909	99.67808359514613
R20022112-Nova123-B130778_combined	/cromwell_inputs/eefeacba/R20022112-Nova123-B130778_combined.sorted.bam	86851729.0	86549869.0	10123332982.0	10122627511.0	12676.8293	205.0	57.8525	0.0031	167.4469	99.65244215230304
R20022112-Nova123-B130792_combined	/cromwell_inputs/f85d3105/R20022112-Nova123-B130792_combined.sorted.bam	62567558.0	62381548.0	7186210422.0	7185688161.0	9279.5449	217.0	57.8709	0.0032	118.8649	99.702705354107
R20022112-Nova123-B131005_combined	/cromwell_inputs/a9bd8b83/R20022112-Nova123-B131005_combined.sorted.bam	141183499.0	140620172.0	16067266075.0	16066142287.0	17869.2744	217.0	57.8085	0.0032	265.7637	99.60099657255272
R20022112-Nova123-B132148_combined	/cromwell_inputs/37912d69/R20022112-Nova123-B132148_combined.sorted.bam	48922856.0	48720027.0	5790348180.0	5789952136.0	19092.0267	200.0	57.853	0.003	95.7764	99.58541054921241
R20022112-Nova123-B132159_combined	/cromwell_inputs/0c99f045/R20022112-Nova123-B132159_combined.sorted.bam	32741607.0	32657449.0	3943872211.0	3943617516.0	7393.428	172.0	57.8541	0.0026	65.2344	99.7429631355602
R20022112-Nova123-B132234_combined	/cromwell_inputs/06d0e5ad/R20022112-Nova123-B132234_combined.sorted.bam	61342664.0	61166441.0	7290144690.0	7289648532.0	9258.6875	202.0	57.8659	0.0028	120.584	99.71272359478877
R20022112-Nova123-B132829_combined	/cromwell_inputs/73d158f4/R20022112-Nova123-B132829_combined.sorted.bam	42432248.0	42263241.0	5041526133.0	5041188760.0	8099.1789	194.0	57.8744	0.003	83.3903	99.60170151720456
