sample_name	library	platform	sample	type	recall	precision	f1_Score
BGI_T7_WGE_LCL7_3_20191105	PCR-free	BGI_SEQT7	LCL7	INDEL	0.97329	0.980632	0.976947
BGI_T7_WGE_LCL7_3_20191105	PCR-free	BGI_SEQT7	LCL7	SNV	0.99602	0.996145	0.996083
BGI_T7_WGE_LCL8_1_20191105	PCR-free	BGI_SEQT7	LCL8	INDEL	0.971008	0.980206	0.975585
BGI_T7_WGE_LCL8_1_20191105	PCR-free	BGI_SEQT7	LCL8	SNV	0.995986	0.996457	0.996222
BGI_T7_WGE_LCL8_2_20191105	PCR-free	BGI_SEQT7	LCL8	INDEL	0.96744	0.979019	0.973195
BGI_T7_WGE_LCL8_2_20191105	PCR-free	BGI_SEQT7	LCL8	SNV	0.995564	0.996417	0.99599
BGI_T7_WGE_LCL8_3_20191105	PCR-free	BGI_SEQT7	LCL8	INDEL	0.970908	0.979942	0.975404
BGI_T7_WGE_LCL8_3_20191105	PCR-free	BGI_SEQT7	LCL8	SNV	0.995982	0.996393	0.996187
illumina_Nova_MingMa_LCL5_1_20200902	PCR-free	ILM_Nova	LCL5	INDEL	0.991359	0.985684	0.988513
illumina_Nova_MingMa_LCL5_1_20200902	PCR-free	ILM_Nova	LCL5	SNV	0.998716	0.996979	0.997846
illumina_Nova_MingMa_LCL6_1_20200902	PCR-free	ILM_Nova	LCL6	INDEL	0.990395	0.985456	0.987919
illumina_Nova_MingMa_LCL6_1_20200902	PCR-free	ILM_Nova	LCL6	SNV	0.998631	0.997062	0.997846
illumina_Nova_MingMa_LCL7_1_20200902	PCR-free	ILM_Nova	LCL7	INDEL	0.987493	0.983504	0.985494
illumina_Nova_MingMa_LCL7_1_20200902	PCR-free	ILM_Nova	LCL7	SNV	0.998365	0.996829	0.997597
illumina_Nova_MingMa_LCL8_1_20200902	PCR-free	ILM_Nova	LCL8	INDEL	0.98951	0.984259	0.986878
illumina_Nova_MingMa_LCL8_1_20200902	PCR-free	ILM_Nova	LCL8	SNV	0.998643	0.996933	0.997787
illumina_Novaseq6000_KingMed_LCL5_1_20200902	PCR-free	ILM_Nova	LCL5	INDEL	0.988705	0.983922	0.986308
illumina_Novaseq6000_KingMed_LCL5_1_20200902	PCR-free	ILM_Nova	LCL5	SNV	0.997898	0.994709	0.996301
illumina_Novaseq6000_KingMed_LCL6_1_20200902	PCR-free	ILM_Nova	LCL6	INDEL	0.986779	0.983766	0.98527
illumina_Novaseq6000_KingMed_LCL6_1_20200902	PCR-free	ILM_Nova	LCL6	SNV	0.9977	0.994727	0.996211
illumina_Novaseq6000_KingMed_LCL7_1_20200902	PCR-free	ILM_Nova	LCL7	INDEL	0.986137	0.98228	0.984205
illumina_Novaseq6000_KingMed_LCL7_1_20200902	PCR-free	ILM_Nova	LCL7	SNV	0.997375	0.994003	0.995686
illumina_Novaseq6000_KingMed_LCL8_1_20200902	PCR-free	ILM_Nova	LCL8	INDEL	0.985087	0.982026	0.983554
illumina_Novaseq6000_KingMed_LCL8_1_20200902	PCR-free	ILM_Nova	LCL8	SNV	0.997475	0.994584	0.996027
ILM_Nova_ARD_LCL5_1_20181108	PCR-free	ILM_Nova	LCL5	INDEL	0.988282	0.984136	0.986205
ILM_Nova_ARD_LCL5_1_20181108	PCR-free	ILM_Nova	LCL5	SNV	0.998486	0.997054	0.997769
ILM_Nova_ARD_LCL5_2_20181108	PCR-free	ILM_Nova	LCL5	INDEL	0.978499	0.978934	0.978717
ILM_Nova_ARD_LCL5_2_20181108	PCR-free	ILM_Nova	LCL5	SNV	0.997141	0.996255	0.996698
ILM_Nova_ARD_LCL5_3_20181108	PCR-free	ILM_Nova	LCL5	INDEL	0.986319	0.980295	0.983298
ILM_Nova_ARD_LCL5_3_20181108	PCR-free	ILM_Nova	LCL5	SNV	0.997571	0.996016	0.996793
ILM_Nova_ARD_LCL5_4_20190111	PCR-free	ILM_Nova	LCL5	INDEL	0.98994	0.985331	0.98763
ILM_Nova_ARD_LCL5_4_20190111	PCR-free	ILM_Nova	LCL5	SNV	0.998727	0.997117	0.997921
ILM_Nova_ARD_LCL5_5_20190111	PCR-free	ILM_Nova	LCL5	INDEL	0.990159	0.985364	0.987756
ILM_Nova_ARD_LCL5_5_20190111	PCR-free	ILM_Nova	LCL5	SNV	0.998789	0.997156	0.997972
ILM_Nova_ARD_LCL5_6_20190111	PCR-free	ILM_Nova	LCL5	INDEL	0.990988	0.985705	0.98834
ILM_Nova_ARD_LCL5_6_20190111	PCR-free	ILM_Nova	LCL5	SNV	0.998804	0.997147	0.997975
ILM_Nova_ARD_LCL6_1_20181108	PCR-free	ILM_Nova	LCL6	INDEL	0.991081	0.985447	0.988256
ILM_Nova_ARD_LCL6_1_20181108	PCR-free	ILM_Nova	LCL6	SNV	0.998726	0.997132	0.997929
ILM_Nova_ARD_LCL6_2_20181108	PCR-free	ILM_Nova	LCL6	INDEL	0.98404	0.979573	0.981801
ILM_Nova_ARD_LCL6_2_20181108	PCR-free	ILM_Nova	LCL6	SNV	0.99684	0.995318	0.996078
ILM_Nova_ARD_LCL6_3_20181108	PCR-free	ILM_Nova	LCL6	INDEL	0.98656	0.980409	0.983475
ILM_Nova_ARD_LCL6_3_20181108	PCR-free	ILM_Nova	LCL6	SNV	0.99757	0.995984	0.996777
ILM_Nova_ARD_LCL6_4_20190111	PCR-free	ILM_Nova	LCL6	INDEL	0.990447	0.98517	0.987802
ILM_Nova_ARD_LCL6_4_20190111	PCR-free	ILM_Nova	LCL6	SNV	0.998751	0.997037	0.997893
ILM_Nova_ARD_LCL6_5_20190111	PCR-free	ILM_Nova	LCL6	INDEL	0.988338	0.984158	0.986244
ILM_Nova_ARD_LCL6_5_20190111	PCR-free	ILM_Nova	LCL6	SNV	0.998585	0.996952	0.997768
ILM_Nova_ARD_LCL6_6_20190111	PCR-free	ILM_Nova	LCL6	INDEL	0.982693	0.983037	0.982865
ILM_Nova_ARD_LCL6_6_20190111	PCR-free	ILM_Nova	LCL6	SNV	0.99821	0.996921	0.997565
ILM_Nova_ARD_LCL7_1_20181108	PCR-free	ILM_Nova	LCL7	INDEL	0.983658	0.980131	0.981892
ILM_Nova_ARD_LCL7_1_20181108	PCR-free	ILM_Nova	LCL7	SNV	0.997143	0.995824	0.996483
ILM_Nova_ARD_LCL7_2_20181108	PCR-free	ILM_Nova	LCL7	INDEL	0.976123	0.974581	0.975351
ILM_Nova_ARD_LCL7_2_20181108	PCR-free	ILM_Nova	LCL7	SNV	0.994652	0.99351	0.994081
ILM_Nova_ARD_LCL7_3_20181108	PCR-free	ILM_Nova	LCL7	INDEL	0.983228	0.979371	0.981296
ILM_Nova_ARD_LCL7_3_20181108	PCR-free	ILM_Nova	LCL7	SNV	0.996811	0.995402	0.996106
ILM_Nova_ARD_LCL7_4_20190111	PCR-free	ILM_Nova	LCL7	INDEL	0.988253	0.982911	0.985574
ILM_Nova_ARD_LCL7_4_20190111	PCR-free	ILM_Nova	LCL7	SNV	0.998245	0.996463	0.997353
ILM_Nova_ARD_LCL7_5_20190111	PCR-free	ILM_Nova	LCL7	INDEL	0.988049	0.982164	0.985097
ILM_Nova_ARD_LCL7_5_20190111	PCR-free	ILM_Nova	LCL7	SNV	0.997958	0.996159	0.997058
ILM_Nova_ARD_LCL7_6_20190111	PCR-free	ILM_Nova	LCL7	INDEL	0.988285	0.983544	0.985909
ILM_Nova_ARD_LCL7_6_20190111	PCR-free	ILM_Nova	LCL7	SNV	0.998412	0.996702	0.997556
ILM_Nova_ARD_LCL8_1_20181108	PCR-free	ILM_Nova	LCL8	INDEL	0.982927	0.979827	0.981375
ILM_Nova_ARD_LCL8_1_20181108	PCR-free	ILM_Nova	LCL8	SNV	0.997354	0.996113	0.996733
ILM_Nova_ARD_LCL8_2_20181108	PCR-free	ILM_Nova	LCL8	INDEL	0.982863	0.978601	0.980728
ILM_Nova_ARD_LCL8_2_20181108	PCR-free	ILM_Nova	LCL8	SNV	0.99697	0.995513	0.996241
ILM_Nova_ARD_LCL8_3_20181108	PCR-free	ILM_Nova	LCL8	INDEL	0.978509	0.97666	0.977583
ILM_Nova_ARD_LCL8_3_20181108	PCR-free	ILM_Nova	LCL8	SNV	0.995961	0.994803	0.995382
ILM_Nova_ARD_LCL8_4_20190111	PCR-free	ILM_Nova	LCL8	INDEL	0.989965	0.983919	0.986933
ILM_Nova_ARD_LCL8_4_20190111	PCR-free	ILM_Nova	LCL8	SNV	0.998649	0.99674	0.997694
ILM_Nova_ARD_LCL8_5_20190111	PCR-free	ILM_Nova	LCL8	INDEL	0.991205	0.985046	0.988116
ILM_Nova_ARD_LCL8_5_20190111	PCR-free	ILM_Nova	LCL8	SNV	0.998815	0.996944	0.997879
ILM_Nova_ARD_LCL8_6_20190111	PCR-free	ILM_Nova	LCL8	INDEL	0.988847	0.984293	0.986565
ILM_Nova_ARD_LCL8_6_20190111	PCR-free	ILM_Nova	LCL8	SNV	0.998569	0.997029	0.997798
ILM_Nova_BRG_LCL5_1_20171024	PCR	ILM_Nova	LCL5	INDEL	0.954272	0.971483	0.9628
ILM_Nova_BRG_LCL5_1_20171024	PCR	ILM_Nova	LCL5	SNV	0.991307	0.995841	0.993569
ILM_Nova_BRG_LCL5_1_20180930	PCR-free	ILM_Nova	LCL5	INDEL	0.991615	0.985957	0.988778
ILM_Nova_BRG_LCL5_1_20180930	PCR-free	ILM_Nova	LCL5	SNV	0.998833	0.997184	0.998008
ILM_Nova_BRG_LCL5_2_20180930	PCR-free	ILM_Nova	LCL5	INDEL	0.989418	0.985131	0.98727
ILM_Nova_BRG_LCL5_2_20180930	PCR-free	ILM_Nova	LCL5	SNV	0.998704	0.997162	0.997932
ILM_Nova_BRG_LCL5_3_20180930	PCR-free	ILM_Nova	LCL5	INDEL	0.989553	0.985278	0.987411
ILM_Nova_BRG_LCL5_3_20180930	PCR-free	ILM_Nova	LCL5	SNV	0.998727	0.997194	0.99796
ILM_Nova_BRG_LCL5_4_20171024	PCR	ILM_Nova	LCL5	INDEL	0.97308	0.972416	0.972748
ILM_Nova_BRG_LCL5_4_20171024	PCR	ILM_Nova	LCL5	SNV	0.992444	0.995386	0.993913
ILM_Nova_BRG_LCL6_1_20171024	PCR	ILM_Nova	LCL6	INDEL	0.956003	0.972258	0.964062
ILM_Nova_BRG_LCL6_1_20171024	PCR	ILM_Nova	LCL6	SNV	0.991604	0.995811	0.993703
ILM_Nova_BRG_LCL6_1_20180930	PCR-free	ILM_Nova	LCL6	INDEL	0.989754	0.985413	0.987579
ILM_Nova_BRG_LCL6_1_20180930	PCR-free	ILM_Nova	LCL6	SNV	0.998704	0.99715	0.997926
ILM_Nova_BRG_LCL6_2_20180930	PCR-free	ILM_Nova	LCL6	INDEL	0.989532	0.985215	0.987369
ILM_Nova_BRG_LCL6_2_20180930	PCR-free	ILM_Nova	LCL6	SNV	0.998698	0.99717	0.997934
ILM_Nova_BRG_LCL6_3_20180930	PCR-free	ILM_Nova	LCL6	INDEL	0.991023	0.985808	0.988409
ILM_Nova_BRG_LCL6_3_20180930	PCR-free	ILM_Nova	LCL6	SNV	0.998793	0.997173	0.997982
ILM_Nova_BRG_LCL6_4_20171024	PCR	ILM_Nova	LCL6	INDEL	0.973138	0.972578	0.972858
ILM_Nova_BRG_LCL6_4_20171024	PCR	ILM_Nova	LCL6	SNV	0.992645	0.995372	0.994007
ILM_Nova_BRG_LCL7_1_20171024	PCR	ILM_Nova	LCL7	INDEL	0.95372	0.969752	0.961669
ILM_Nova_BRG_LCL7_1_20171024	PCR	ILM_Nova	LCL7	SNV	0.992453	0.995757	0.994102
ILM_Nova_BRG_LCL7_1_20180930	PCR-free	ILM_Nova	LCL7	INDEL	0.989339	0.984593	0.98696
ILM_Nova_BRG_LCL7_1_20180930	PCR-free	ILM_Nova	LCL7	SNV	0.998582	0.996794	0.997687
ILM_Nova_BRG_LCL7_2_20180930	PCR-free	ILM_Nova	LCL7	INDEL	0.990122	0.984803	0.987455
ILM_Nova_BRG_LCL7_2_20180930	PCR-free	ILM_Nova	LCL7	SNV	0.998652	0.996982	0.997816
ILM_Nova_BRG_LCL7_3_20180930	PCR-free	ILM_Nova	LCL7	INDEL	0.991323	0.985109	0.988206
ILM_Nova_BRG_LCL7_3_20180930	PCR-free	ILM_Nova	LCL7	SNV	0.99875	0.996929	0.997838
ILM_Nova_BRG_LCL7_4_20171024	PCR	ILM_Nova	LCL7	INDEL	0.964386	0.965625	0.965005
ILM_Nova_BRG_LCL7_4_20171024	PCR	ILM_Nova	LCL7	SNV	0.993173	0.995368	0.994269
ILM_Nova_BRG_LCL8_1_20171024	PCR	ILM_Nova	LCL8	INDEL	0.951144	0.969558	0.960263
ILM_Nova_BRG_LCL8_1_20171024	PCR	ILM_Nova	LCL8	SNV	0.988245	0.995485	0.991852
ILM_Nova_BRG_LCL8_1_20180930	PCR-free	ILM_Nova	LCL8	INDEL	0.990587	0.985017	0.987794
ILM_Nova_BRG_LCL8_1_20180930	PCR-free	ILM_Nova	LCL8	SNV	0.998778	0.997059	0.997918
ILM_Nova_BRG_LCL8_2_20180930	PCR-free	ILM_Nova	LCL8	INDEL	0.988997	0.984674	0.986831
ILM_Nova_BRG_LCL8_2_20180930	PCR-free	ILM_Nova	LCL8	SNV	0.998636	0.997143	0.997889
ILM_Nova_BRG_LCL8_3_20180930	PCR-free	ILM_Nova	LCL8	INDEL	0.991234	0.985225	0.98822
ILM_Nova_BRG_LCL8_3_20180930	PCR-free	ILM_Nova	LCL8	SNV	0.998822	0.99711	0.997965
ILM_Nova_BRG_LCL8_4_20171024	PCR	ILM_Nova	LCL8	INDEL	0.96005	0.964822	0.96243
ILM_Nova_BRG_LCL8_4_20171024	PCR	ILM_Nova	LCL8	SNV	0.989292	0.995009	0.992142
ILM_Nova_GAC_LCL5_1_20171025	PCR	ILM_Nova	LCL5	INDEL	0.934743	0.954314	0.944427
ILM_Nova_GAC_LCL5_1_20171025	PCR	ILM_Nova	LCL5	INDEL	0.966624	0.952806	0.959665
ILM_Nova_GAC_LCL5_1_20171025	PCR	ILM_Nova	LCL5	SNV	0.997669	0.996017	0.996842
ILM_Nova_GAC_LCL6_1_20171025	PCR	ILM_Nova	LCL6	INDEL	0.929472	0.952073	0.940637
ILM_Nova_GAC_LCL6_1_20171025	PCR	ILM_Nova	LCL6	INDEL	0.96485	0.951893	0.958327
ILM_Nova_GAC_LCL6_1_20171025	PCR	ILM_Nova	LCL6	SNV	0.997496	0.995939	0.996717
