seq	sample	group	batch	snv_D5-precision	snv_D5-recall	snv_D6-precision	snv_D6-recall	snv_F7-precision	snv_F7-recall	snv_M8-precision	snv_M8-recall	snv_mendelian	indel_D5-precision	indel_D5-recall	indel_D6-precision	indel_D6-recall	indel_F7-precision	indel_F7-recall	indel_M8-precision	indel_M8-recall	indel_mendelian
WES	101630ky-2	PCR	101630ky	0.9962000000000001	0.995	0.9964	0.995	0.996	0.9953	0.9965999999999999	0.9954999999999999	0.989547038328	0.8634000000000001	0.9322	0.8698	0.9336	0.857	0.9322	0.8573000000000001	0.9279999999999999	0.845768120346
WES	101630ky-3	PCR	101630ky	0.9961	0.9948	0.9961	0.995	0.996	0.9953	0.9948	0.9954999999999999	0.989422204109	0.8623000000000001	0.927	0.8590000000000001	0.9301	0.8634000000000001	0.9305	0.8545	0.9256	0.835419847328
WES	101630lc-1	PCR	101630lc	0.9962000000000001	0.9959	0.9961	0.9954999999999999	0.9962000000000001	0.9963	0.9965	0.9962000000000001	0.988991267022	0.8623999999999999	0.9331999999999999	0.8567	0.9318000000000001	0.8581	0.9346	0.855	0.9262999999999999	0.835329795299
WES	101630lc-2	PCR	101630lc	0.9959	0.9954000000000001	0.9958	0.9956999999999999	0.9956999999999999	0.9956999999999999	0.9965	0.9958	0.98962386511	0.8621	0.9343	0.863	0.9329000000000001	0.8553000000000001	0.9301	0.8504999999999999	0.9253	0.826684799033
WES	101630lc-3	PCR	101630lc	0.9961	0.995	0.9965999999999999	0.9959	0.996	0.9961	0.9964	0.9958	0.988644349917	0.8684999999999999	0.938	0.8679000000000001	0.9331999999999999	0.8623000000000001	0.9336	0.8578	0.9315000000000001	0.841944359523
WES	101680-1	PCR	101680	0.9961	0.9954999999999999	0.9947	0.9948999999999999	0.9945	0.9945	0.9954000000000001	0.9954000000000001	0.9764167	0.9212	0.9714	0.9157	0.9693	0.9378	0.9788	0.9420000000000001	0.9756	0.896969697
WES	101680-2	PCR	101680	0.9954000000000001	0.9952	0.9954999999999999	0.9956999999999999	0.9945999999999999	0.9945999999999999	0.9951000000000001	0.995	0.975869323	0.9279999999999999	0.9673	0.9304000000000001	0.9754999999999999	0.9073	0.9639	0.9294	0.9756	0.894477318
WES	101680-3	PCR	101680	0.9954999999999999	0.996	0.9951000000000001	0.9948999999999999	0.9954000000000001	0.9945	0.9954999999999999	0.9958	0.975734908	0.9417	0.9836	0.9247	0.9714	0.9257	0.966	0.9240999999999999	0.9756	0.898019802
WES	101688-1	PCR	101688	0.9943000000000001	0.9915999999999999	0.9948	0.9922	0.9945	0.991	0.9945999999999999	0.9921	0.968248106	0.8902	0.9227	0.8856	0.9254000000000001	0.8801000000000001	0.9179999999999999	0.8848	0.9157	0.780550997
WES	101688-2	PCR	101688	0.9941	0.9911	0.9937999999999999	0.9914000000000001	0.9945999999999999	0.9918	0.9943000000000001	0.9919	0.968685257	0.8837	0.9208	0.8773000000000001	0.9107999999999999	0.8785	0.9198999999999999	0.8852	0.9201	0.775079927
WES	101688-3	PCR	101688	0.9944	0.9915999999999999	0.9942	0.9926	0.9944	0.9917	0.9942	0.9922	0.968850353	0.8848999999999999	0.9198000000000001	0.8879	0.9220999999999999	0.8804000000000001	0.9178000000000001	0.8876999999999999	0.9214	0.789833146
WES	101805-1	PCR	101805	0.9959	0.996	0.9954999999999999	0.9964	0.9958	0.9967	0.9943000000000001	0.9959	0.965092456	0.8484	0.9240999999999999	0.8376	0.9240999999999999	0.8384	0.9237000000000001	0.8434999999999999	0.9189	0.758536585
WES	101805-2	PCR	101805	0.9954999999999999	0.9971	0.9954000000000001	0.9969	0.9956	0.9967	0.9959	0.9958	0.967132016	0.8445999999999999	0.9296	0.8495999999999999	0.9315000000000001	0.8369	0.9244	0.8425	0.9140999999999999	0.7692739
WES	101805-3	PCR	101805	0.9956999999999999	0.9969	0.9953	0.9969	0.9956999999999999	0.9969	0.996	0.9965999999999999	0.96698639	0.8484	0.9251	0.8427	0.9270999999999999	0.8452	0.9253	0.8434	0.9187000000000001	0.767017676
WES	102032-1	PCR	102032	0.9873000000000001	0.9636	0.9881	0.9702	0.9884999999999999	0.9671	0.9883	0.9667	0.937611746	0.9456	0.7681	0.9315000000000001	0.8085	0.9281999999999999	0.7996	0.9274	0.7787000000000001	0.735238095
WES	102032-2	PCR	102032	0.9897	0.971	0.9878	0.9684999999999999	0.9904000000000001	0.976	0.9890000000000001	0.9704	0.94163067	0.9394	0.8116	0.9270999999999999	0.7970999999999999	0.9431999999999999	0.8356	0.9326000000000001	0.8134999999999999	0.744157442
WES	102032-3	PCR	102032	0.9852	0.9548000000000001	0.9881	0.9669	0.9845	0.9444	0.9881	0.9654	0.924226341	0.9316	0.7547	0.9398000000000001	0.7847	0.9444	0.7284999999999999	0.9242	0.79	0.722733246
WES	102107-1	PCR	102107	0.9948	0.9978	0.9942	0.9976999999999999	0.9943000000000001	0.9974	0.9942	0.9976999999999999	0.973581326	0.9098	0.9591	0.9152	0.9634999999999999	0.8876000000000001	0.9439	0.8942	0.9558	0.816352201
WES	102107-2	PCR	102107	0.9928	0.9976	0.9922	0.9974	0.9952	0.9978	0.9934999999999999	0.9978	0.97341743	0.8996999999999999	0.9577	0.8908	0.9634999999999999	0.8864	0.9423999999999999	0.919	0.972	0.812940423
WES	102107-3	PCR	102107	0.9932	0.9975	0.9933	0.998	0.9940000000000001	0.9978	0.9934999999999999	0.9978	0.974957445	0.9117000000000001	0.9679000000000001	0.8974	0.9577	0.8873000000000001	0.9515	0.8923000000000001	0.9601999999999999	0.810691824
WES	102171-1	PCR-free	102171	0.9944	0.9942	0.9940000000000001	0.9945999999999999	0.9941	0.9948999999999999	0.9944	0.9947	0.973367963	0.9039	0.9422	0.9031999999999999	0.9427	0.8996999999999999	0.9414	0.8974	0.9378	0.808117696
WES	102171-2	PCR-free	102171	0.9943000000000001	0.9952	0.9947	0.9944	0.9948	0.9944	0.9937999999999999	0.9961	0.972891102	0.9087000000000001	0.9489	0.905	0.9422	0.8957999999999999	0.9384	0.9007999999999999	0.9436	0.806744623
WES	102171-3	PCR-free	102171	0.9945	0.9954999999999999	0.9945	0.9956	0.9942	0.9940000000000001	0.9944	0.9958	0.973367313	0.9107	0.9484	0.9051	0.9440999999999999	0.8901	0.9342	0.8996999999999999	0.9417	0.805251641
WES	102192-1	PCR	102192	0.9956	0.995	0.9954999999999999	0.9951000000000001	0.9954999999999999	0.9948	0.9954999999999999	0.9954999999999999	0.978470676	0.9076000000000001	0.9590000000000001	0.8967	0.9521	0.9044	0.9442	0.8920999999999999	0.9501000000000001	0.836052836
WES	102192-2	PCR	102192	0.9958	0.9952	0.996	0.9947	0.9948999999999999	0.9956	0.9954999999999999	0.9959	0.977050479	0.8815000000000001	0.9419	0.9103	0.9573	0.879	0.9372	0.8870999999999999	0.9570000000000001	0.835019455
WES	102192-3	PCR	102192	0.9959	0.9959	0.9954999999999999	0.9951000000000001	0.9964	0.9952	0.996	0.9954000000000001	0.978296955	0.8987	0.9573	0.8937999999999999	0.9521	0.8891	0.9494	0.8856999999999999	0.9431999999999999	0.827721222
WES	102210-1	PCR	102210	0.9934999999999999	0.9974	0.9937	0.9976	0.9934999999999999	0.9981	0.9939	0.9982	0.976921719	0.8861	0.9381999999999999	0.8828	0.9398000000000001	0.8691	0.9343	0.8801000000000001	0.9384	0.830092593
WES	102210-2	PCR	102210	0.9939	0.9973000000000001	0.9932	0.9976999999999999	0.9948999999999999	0.9982	0.9939	0.998	0.976366322	0.8791	0.9370999999999999	0.8832	0.9387000000000001	0.8714	0.9322	0.8752	0.9362999999999999	0.817405355
WES	102210-3	PCR	102210	0.9937999999999999	0.9973000000000001	0.9931	0.9976999999999999	0.9937	0.9976	0.9939	0.9981	0.975751697	0.8793000000000001	0.9355	0.877	0.9377	0.8801000000000001	0.9364	0.8802	0.9390000000000001	0.8194315
WES	102213-1	PCR	102213	0.9921	0.9831	0.9922	0.9832	0.9921	0.9802	0.9923000000000001	0.9815999999999999	0.961212069	0.9484999999999999	0.9205	0.941	0.919	0.9453	0.9106000000000001	0.9497	0.9206	0.812483076
WES	102213-2	PCR	102213	0.9915	0.9823999999999999	0.9922	0.9831	0.9912000000000001	0.9823999999999999	0.992	0.9802	0.960062167	0.9466	0.9209	0.9494	0.9239	0.9407	0.9201	0.9408	0.9176000000000001	0.816088841
WES	102213-3	PCR	102213	0.9912000000000001	0.9822	0.9926999999999999	0.9818000000000001	0.9922	0.9832	0.9926999999999999	0.9825	0.959103354	0.9412	0.9153	0.9455	0.9192	0.9436	0.9247	0.9456	0.9233	0.818218843
WES	102234-1	PCR	102234	0.9953	0.9201	0.9945999999999999	0.9192	0.9954000000000001	0.9223	0.9948	0.922	0.969688421	0.9335	0.812	0.9220999999999999	0.802	0.9440000000000001	0.8024	0.9388	0.7915000000000001	0.874517375
WES	102234-2	PCR	102234	0.9954000000000001	0.9198999999999999	0.9948	0.9211	0.995	0.9213	0.9942	0.9218000000000001	0.969993415	0.9369	0.8103	0.9297	0.8087000000000001	0.9396	0.7938	0.919	0.7866	0.848399247
WES	102234-3	PCR	102234	0.996	0.9211	0.9954999999999999	0.922	0.9954999999999999	0.9224	0.9954000000000001	0.9229	0.971152045	0.9261	0.8087000000000001	0.9399	0.802	0.9251999999999999	0.799	0.9229	0.7915000000000001	0.840888067
WES	102249-1	PCR	102249	0.9948999999999999	0.9876	0.9951000000000001	0.9865999999999999	0.9954999999999999	0.9890000000000001	0.9954000000000001	0.9891	0.97456445993	0.9505	0.9231	0.9516	0.9262999999999999	0.9523999999999999	0.9329999999999999	0.9529000000000001	0.9344	0.828763290431
WES	102249-2	PCR	102249	0.9954999999999999	0.9883	0.9947	0.9887	0.9954999999999999	0.9901000000000001	0.9948999999999999	0.9865	0.977524585352	0.9501999999999999	0.9289000000000001	0.9503	0.9309000000000001	0.9506999999999999	0.9359000000000001	0.9456	0.9192	0.839332583427
WES	102249-3	PCR	102249	0.9954000000000001	0.9868000000000001	0.9947	0.9876	0.995	0.9882	0.9948	0.9893000000000001	0.976500873403	0.9562	0.9220999999999999	0.9521999999999999	0.9254000000000001	0.9484999999999999	0.9294	0.9504	0.9362999999999999	0.841179807147
WES	102276-1	PCR	102276	0.9836	0.9936	0.9867	0.9932	0.9859	0.9942	0.9847	0.9926999999999999	0.965884169	0.9384	0.951	0.929	0.9440999999999999	0.9220999999999999	0.9373	0.9365000000000001	0.9523	0.869262865
WES	102276-2	PCR	102276	0.9876	0.9936	0.9861	0.9934999999999999	0.987	0.9937999999999999	0.986	0.9921	0.967835701	0.9412999999999999	0.9566	0.9267	0.9483	0.9551999999999999	0.9643999999999999	0.9401	0.9509000000000001	0.871369295
WES	102276-3	PCR	102276	0.986	0.9937999999999999	0.9865	0.9937	0.9869	0.9933	0.9856	0.9924	0.96941381	0.943	0.9636	0.9377	0.9594	0.9187000000000001	0.9416	0.9312999999999999	0.9481999999999999	0.870547945
WES	102297-1	PCR	102297	0.9948999999999999	0.9968	0.9948999999999999	0.9962000000000001	0.9947	0.9959	0.9945999999999999	0.9959	0.976970468884	0.8946	0.9370999999999999	0.8952	0.9322	0.8876000000000001	0.9299	0.8926000000000001	0.9309999999999999	0.773369952192
WES	102297-2	PCR	102297	0.9951000000000001	0.9953	0.9948	0.9965	0.9947	0.9961	0.995	0.9954999999999999	0.974868116887	0.8951	0.9297	0.8892	0.9326000000000001	0.8959999999999999	0.935	0.8975	0.9335	0.768761439902
WES	102297-3	PCR	102297	0.9948	0.9954000000000001	0.9948	0.9964	0.9944	0.9948999999999999	0.9948	0.9954999999999999	0.973887398669	0.8998999999999999	0.9317	0.8941	0.9319	0.8887	0.922	0.8906000000000001	0.9279999999999999	0.763193087131
WES	103112-1	PCR	103112	0.988	0.9954000000000001	0.9876	0.996	0.9843999999999999	0.9919	0.9873000000000001	0.9951000000000001	0.975644826	0.8908	0.9238	0.8859	0.9243000000000001	0.8704000000000001	0.9059999999999999	0.8926999999999999	0.9299	0.805700124
WES	103112-2	PCR	103112	0.9897	0.9975	0.9889	0.9968	0.9861	0.9932	0.9884999999999999	0.9962000000000001	0.976375347	0.9028	0.9414	0.8996	0.9393	0.8758	0.9215000000000001	0.8892	0.9294	0.840313495
WES	103112-3	PCR	103112	0.9908	0.9971	0.9882	0.9967	0.9889	0.9961	0.9894	0.9967	0.978210426	0.8934000000000001	0.9366	0.8920999999999999	0.9323	0.8748	0.9236	0.8876999999999999	0.9326000000000001	0.838575957
WES	103122-1	PCR	103122	0.9876999999999999	0.9902	0.9873000000000001	0.9898	0.9875	0.9903	0.9863	0.9894	0.947910635013	0.8434	0.9288	0.8408	0.9288	0.853	0.9368000000000001	0.8537	0.9306	0.820820820821
WES	103122-2	PCR	103122	0.9876	0.9903	0.9876	0.9901000000000001	0.987	0.9904000000000001	0.986	0.9890000000000001	0.947166626477	0.8425	0.9272	0.8353	0.9239	0.8491	0.9344	0.846	0.929	0.791693917593
WES	103122-3	PCR	103122	0.9872	0.9904000000000001	0.9875	0.9902	0.9868000000000001	0.9899	0.9854999999999999	0.9887999999999999	0.948192159988	0.857	0.9320999999999999	0.8367	0.9296	0.8565999999999999	0.9294	0.8482	0.9315000000000001	0.814242526033
WES	103135-1	PCR	103135	0.9962000000000001	0.9975	0.9964	0.9976999999999999	0.997	0.9978	0.9965	0.9974	0.98830767	0.953	0.9758	0.9591	0.9736	0.9484	0.9767	0.9462	0.9741	0.881967213
WES	103135-2	PCR	103135	0.9965	0.9978	0.9968	0.9978	0.9965999999999999	0.9978	0.9965999999999999	0.9971	0.987820213	0.9423999999999999	0.9670000000000001	0.9401999999999999	0.9626	0.9440999999999999	0.9743999999999999	0.9397	0.9655	0.872294372
WES	103135-3	PCR	103135	0.9967	0.9976999999999999	0.9964	0.9975	0.9968	0.9979	0.9968	0.9971	0.98821966	0.9615	0.9845999999999999	0.9573	0.978	0.9570000000000001	0.9767	0.9438	0.9677	0.883695652
WES	103146-1	PCR	103146	0.9954000000000001	0.9981	0.9947	0.9982	0.9961	0.9984999999999999	0.9958	0.9982	0.98863418	0.9593	0.9826	0.9398000000000001	0.9771	0.9388	0.9767	0.9506	0.9765999999999999	0.884671533
WES	103146-2	PCR	103146	0.9964	0.998	0.9944	0.9981	0.9958	0.9986	0.996	0.9982	0.986239412	0.9525	0.9817	0.9473999999999999	0.9798	0.9481	0.9777	0.9495999999999999	0.9721	0.881636629
WES	103146-3	PCR	103146	0.993	0.9982	0.9954000000000001	0.9984000000000001	0.9958	0.9984000000000001	0.9958	0.9974	0.986614368	0.9539	0.9762000000000001	0.9582999999999999	0.9789	0.9386	0.973	0.9531000000000001	0.9775	0.890670554
WES	105001-1	PCR	105001	0.9928	0.9512	0.9933	0.9523	0.991	0.9475	0.9932	0.9488	0.964380258	0.8462000000000001	0.7478	0.8162	0.7306	0.8112999999999999	0.7143999999999999	0.8493	0.7368000000000001	0.616725979
WES	105001-2	PCR	105001	0.9921	0.9508	0.9915	0.951	0.9929000000000001	0.9484	0.9932	0.9504	0.966498718	0.8418000000000001	0.7373000000000001	0.8405	0.7402	0.8497	0.7328	0.8541	0.7444	0.703584374
WES	105001-3	PCR	105001	0.9922	0.9505	0.9934000000000001	0.9518000000000001	0.9929000000000001	0.9520000000000001	0.9928	0.9489	0.966758759	0.8441	0.7392	0.8462000000000001	0.7459	0.8371999999999999	0.7444	0.8314	0.7312000000000001	0.640636298
WES	105343-1	PCR	105343	0.995	0.9923000000000001	0.9947	0.9933	0.9948999999999999	0.9908	0.9948999999999999	0.991	0.967492216	0.9211	0.9292	0.9231	0.9377	0.9204000000000001	0.9257	0.9251	0.9247	0.792666421
WES	105343-2	PCR	105343	0.9956	0.9932	0.9945999999999999	0.9921	0.995	0.9911	0.9945999999999999	0.9921	0.966260702	0.9240999999999999	0.9401999999999999	0.9231	0.9326000000000001	0.9114	0.9213	0.9187000000000001	0.9264	0.791503906
WES	105343-3	PCR	105343	0.9951000000000001	0.9918	0.9948999999999999	0.9932	0.9948999999999999	0.9915999999999999	0.9948999999999999	0.993	0.968312548	0.9213	0.929	0.9242	0.9351	0.9229999999999999	0.9305	0.9253	0.9338	0.78723143
WES	106002-1	PCR	106002	0.9758	0.9209999999999999	0.9768000000000001	0.9208	0.9761	0.9144	0.9717	0.9064	0.788409329	0.8131999999999999	0.7444	0.8108	0.7487999999999999	0.7958	0.7440000000000001	0.8073999999999999	0.7176	0.446987859
WES	106002-2	PCR	106002	0.9718000000000001	0.9273	0.9753000000000001	0.9236	0.9761	0.9129999999999999	0.9704999999999999	0.9091	0.78536548	0.7984	0.7559999999999999	0.8062999999999999	0.7454999999999999	0.795	0.7312000000000001	0.8006	0.7271	0.45841095
WES	106002-3	PCR	106002	0.9777	0.9117000000000001	0.9753000000000001	0.9256	0.9782	0.9126000000000001	0.9718000000000001	0.9045000000000001	0.789667954	0.8172	0.7234	0.8020999999999999	0.7521	0.7947	0.7345	0.8111	0.7231000000000001	0.458263493
WES	106416-1	PCR	106416	0.9902	0.9945999999999999	0.9884000000000001	0.9944	0.9915	0.9939	0.9893000000000001	0.9954000000000001	0.97001818	0.7967	0.9795999999999999	0.8007	0.9856999999999999	0.8190000000000001	0.9765999999999999	0.7504000000000001	0.9817	0.866452132
WES	106416-2	PCR	106416	0.9878	0.9943000000000001	0.9915	0.9940000000000001	0.9898	0.9948	0.9908	0.9933	0.967899941	0.7595000000000001	0.9754999999999999	0.8522	0.9939	0.7798	0.9873000000000001	0.789	0.9736	0.87611336
WES	106416-3	PCR	106416	0.99	0.9953	0.991	0.9943000000000001	0.9899	0.9926999999999999	0.9893000000000001	0.9934999999999999	0.970363053	0.7776000000000001	0.9856999999999999	0.8016	0.9918	0.7853	0.966	0.7944	0.9675	0.868248773
WES	112061-1	PCR	112061	0.6102000000000001	0.6108	0.9948999999999999	0.9923000000000001	0.9947	0.9932	0.9942	0.9937	0.564813381	0.5736	0.6138	0.9401999999999999	0.977	0.922	0.9693999999999999	0.9243000000000001	0.971	0.528585757
WES	112061-2	PCR	112061	0.6039	0.6029	0.6042000000000001	0.603	0.6046	0.6035	0.6122	0.6108	0.745316421	0.5622	0.5637	0.5488000000000001	0.5616	0.5294	0.5872999999999999	0.5782	0.6025	0.713661202
WES	112061-3	PCR	112061	0.9952	0.9939	0.9954999999999999	0.9937	0.6043999999999999	0.6037	0.9941	0.9933	0.96494668	0.9345	0.9749	0.9376000000000001	0.9666	0.5246	0.5808	0.9201	0.9627	0.859323882
WES	112120-1	PCR	112120	0.9954999999999999	0.9965999999999999	0.9962000000000001	0.9969	0.9952	0.9965	0.996	0.9969	0.978726445	0.9041	0.9519	0.8996	0.9511	0.8856	0.9426000000000001	0.8828	0.9412	0.818090955
WES	112120-2	PCR	112120	0.9956999999999999	0.9967	0.9956	0.9967	0.9958	0.9967	0.996	0.9967	0.980854566	0.8962	0.95	0.8943000000000001	0.9519	0.8731	0.9388	0.8936	0.9445	0.811603868
WES	112120-3	PCR	112120	0.9956999999999999	0.9969	0.9961	0.9965	0.9952	0.9969	0.996	0.9967	0.980850455	0.8928	0.9481	0.8959999999999999	0.9459000000000001	0.8848999999999999	0.9440999999999999	0.8933	0.9456	0.811582109
WES	112178-1	PCR	112178	0.9951000000000001	0.9944	0.9936	0.9954999999999999	0.9959	0.9948	0.9953	0.995	0.971182901	0.8974	0.9388	0.8883	0.9343	0.8784000000000001	0.9309000000000001	0.8835999999999999	0.925	0.779066123
WES	112178-2	PCR	112178	0.9948	0.9948	0.995	0.9954999999999999	0.9953	0.995	0.9953	0.996	0.972261158	0.8759	0.9336	0.8789	0.9290999999999999	0.8809	0.9317	0.878	0.9294	0.778300408
WES	112178-3	PCR	112178	0.9948999999999999	0.9953	0.9944	0.9954000000000001	0.9951000000000001	0.9944	0.996	0.996	0.974708794	0.8891	0.9373	0.8876000000000001	0.941	0.8879	0.9415	0.8822	0.9345	0.786050895
WES	113089-1	PCR	113089	0.9948	0.9947	0.9948999999999999	0.9954000000000001	0.9944	0.9951000000000001	0.9944	0.9947	0.979135089	0.9342	0.9547	0.9372	0.9601000000000001	0.9267	0.955	0.9314	0.9512999999999999	0.811341134
WES	113089-2	PCR	113089	0.9948	0.9956	0.9945999999999999	0.9952	0.9945	0.9948	0.9945999999999999	0.9937	0.978914305	0.9376000000000001	0.9581999999999999	0.9390999999999999	0.9577	0.9207	0.9518000000000001	0.9215000000000001	0.9451	0.806054112
WES	113089-3	PCR	113089	0.9952	0.9954000000000001	0.9948999999999999	0.9948999999999999	0.9942	0.9945	0.995	0.9948	0.979528139	0.9355	0.9564	0.9353	0.9573	0.9245	0.9505	0.9323	0.9555	0.81462585
WES	114091-1	PCR	114091	0.9942	0.9945999999999999	0.9945999999999999	0.9945999999999999	0.9948	0.9940000000000001	0.9945999999999999	0.9939	0.972982227	0.9373999999999999	0.9714	0.9262	0.9693	0.9355	0.9723999999999999	0.9265000000000001	0.9594	0.870935961
